12,14,17,14,32,45,28,38
10,22,21,39,15,33,27,33
10,9,33,56,16,29,20,27
0,8,52,54,14,27,21,24
0,3,16,77,15,30,28,31
2,10,12,73,21,22,25,35
0,21,10,76,10,26,36,21
8,12,15,58,14,31,22,40
20,4,10,48,9,29,30,50
21,2,2,53,13,30,26,53
20,3,4,63,10,37,26,37
21,3,9,51,16,21,23,56
21,2,6,55,11,35,28,42
23,12,8,32,20,40,32,33
26,7,7,34,14,33,28,51
25,6,16,42,13,32,33,33
25,6,20,38,14,36,29,32
25,7,10,32,7,36,42,41
26,15,15,30,10,29,29,46
25,10,7,50,12,25,20,51
25,9,7,53,10,19,27,50
25,18,9,39,9,26,26,48
25,11,8,41,9,29,24,53
25,9,20,53,10,23,21,39
25,10,6,48,11,19,23,58
25,11,6,44,8,23,16,67
25,11,6,58,11,22,13,54
25,9,7,30,8,18,28,75
25,6,9,45,6,27,27,55
25,7,11,41,4,18,24,70
25,6,11,22,11,18,18,89
25,9,10,43,6,20,19,68
25,7,7,23,9,22,19,88
25,9,17,21,4,17,20,87
25,8,11,25,3,20,21,87
25,10,8,32,4,19,21,81
25,18,14,27,9,21,14,72
25,15,9,25,5,15,16,90
25,5,6,23,2,15,13,111
25,6,8,21,3,17,13,107
25,11,10,19,3,11,6,115
25,9,11,9,5,10,9,122
25,13,9,20,5,11,12,105
25,7,7,27,5,10,12,107
25,9,8,24,5,14,10,105
25,7,10,19,9,15,20,95
25,5,5,21,8,18,19,99
25,11,11,26,2,12,15,98
25,5,7,15,0,3,7,138
25,5,6,16,0,6,5,137
25,5,8,11,3,11,12,125
25,13,10,24,4,13,15,96
25,6,5,23,1,3,8,129
25,7,7,26,4,13,16,102
25,8,5,28,5,15,19,95
25,12,11,22,1,4,7,118
26,9,9,22,2,19,15,98
25,8,9,16,3,20,14,105
25,7,10,16,4,15,20,103
25,5,5,22,3,13,11,116
25,5,5,24,0,14,13,114
25,8,8,24,3,18,21,93
25,6,7,21,0,10,14,117
26,11,10,34,2,9,10,98
25,8,9,12,6,12,16,112
25,5,10,10,1,10,17,122
26,7,8,17,0,3,8,131
25,11,7,25,3,13,13,103
25,7,9,28,3,18,17,93
25,8,11,40,1,11,10,94
25,7,9,28,0,9,8,114
26,14,6,41,2,12,8,91
25,8,13,33,1,14,15,91
25,13,11,39,3,13,13,83
25,7,21,24,2,16,8,97
25,5,9,30,2,5,17,107
26,9,18,24,5,10,14,94
25,9,8,24,1,16,16,101
26,6,6,30,6,14,20,92
25,9,11,30,5,27,22,71
25,12,11,31,1,7,6,107
25,8,6,42,1,13,4,101
25,10,5,27,0,9,9,115
25,9,7,33,0,4,6,116
25,15,7,22,2,12,15,102
25,17,7,25,6,15,17,88
25,7,10,29,5,11,15,98
25,5,6,16,1,15,13,119
25,6,9,22,9,13,23,93
25,7,6,15,3,11,21,112
25,11,11,13,5,15,18,102
25,6,13,21,2,18,13,102
25,5,10,21,6,20,24,89
26,10,8,26,6,17,22,85
25,11,16,13,5,10,18,102
25,8,13,15,0,9,17,113
25,5,8,13,3,13,18,115
25,8,5,13,3,13,10,123
25,13,6,16,5,26,20,89
25,6,10,18,5,11,19,106
25,6,7,12,3,18,14,115
25,9,6,35,3,10,14,98
26,7,11,20,3,14,15,104
26,16,11,35,2,13,8,89
26,6,24,31,5,12,19,77
25,5,11,21,5,11,24,98
25,10,6,36,3,15,9,96
25,14,8,42,0,22,17,72
25,15,9,31,5,18,21,76
26,14,13,39,5,17,12,74
25,22,7,43,2,13,5,83
25,11,13,26,7,15,13,90
25,5,8,34,2,10,16,100
26,11,7,35,4,5,10,102
27,9,17,22,6,16,26,77
25,15,9,30,1,12,11,97
25,13,22,17,2,9,5,107
25,7,7,21,1,3,6,130
26,6,5,18,3,11,13,118
25,5,11,12,1,3,17,126
25,13,8,27,2,18,16,91
25,8,5,33,2,19,13,95
25,13,5,15,8,9,13,112
25,7,7,11,1,6,8,135
25,7,12,37,3,6,10,100
25,13,13,26,5,11,10,97
25,11,10,25,2,10,11,106
25,9,6,23,1,14,5,117
25,9,9,16,1,11,13,116
25,6,8,27,1,8,10,115
26,9,7,23,2,6,9,118
25,8,11,27,2,18,9,100
25,8,6,22,1,12,6,120
25,8,14,35,1,11,16,90
25,7,11,46,0,5,3,103
26,12,8,47,0,3,4,100
26,6,26,32,1,7,11,91
25,8,15,32,0,10,11,99
25,13,7,31,1,3,8,112
25,5,7,32,1,12,12,106
25,9,7,46,1,5,4,103
25,8,9,34,1,9,9,105
26,6,19,36,1,11,13,88
25,11,12,35,2,15,9,91
25,5,9,37,2,8,19,95
25,8,8,25,6,12,16,100
25,7,10,39,6,10,18,85
25,8,13,50,3,14,19,68
25,7,6,19,1,12,17,113
25,5,7,37,1,11,11,103
27,12,12,34,6,13,11,85
27,15,16,38,2,18,16,68
26,29,8,32,1,14,11,79
26,8,11,28,1,9,9,108
25,19,5,22,0,4,5,120
25,7,14,39,2,17,6,90
25,6,5,27,1,11,11,114
25,5,10,26,2,8,10,114
25,5,10,18,0,7,5,130
25,9,8,28,1,16,8,105
26,9,14,20,4,11,10,106
26,11,10,29,3,7,12,102
25,5,22,23,3,9,11,102
25,9,5,26,1,7,6,121
25,7,7,15,4,14,6,122
25,7,6,18,1,7,8,128
25,8,8,32,1,9,6,111
26,13,12,44,1,9,7,88
25,11,16,36,2,9,9,92
26,8,9,33,1,10,10,103
26,10,8,48,2,8,9,89
25,18,9,40,1,7,6,94
25,13,5,27,2,13,14,101
26,13,10,34,1,6,9,101
25,9,7,27,3,14,13,102
25,8,10,42,1,10,10,94
25,7,6,38,3,9,6,106
25,8,7,33,1,16,8,102
25,6,6,12,4,14,17,116
26,8,7,34,1,17,9,98
25,10,6,23,1,9,6,120
25,13,11,35,6,13,16,81
25,8,5,59,1,2,2,98
25,9,7,24,0,12,18,105
25,5,20,25,0,9,13,103
25,7,5,24,1,13,7,118
25,18,8,39,3,13,18,76
25,7,23,12,2,14,18,99
25,6,7,23,4,14,17,104
25,8,12,24,2,10,12,107
25,8,6,26,0,5,10,120
25,6,10,15,2,6,17,119
25,14,9,26,3,10,12,101
24,7,15,21,4,9,8,112
25,7,8,16,2,14,22,106
25,12,7,11,3,13,14,115
25,5,5,13,3,16,18,115
25,7,8,20,1,8,7,124
25,7,9,37,3,15,12,92
25,6,10,16,1,8,12,122
25,8,8,15,1,13,9,121
25,9,10,20,2,18,11,105
25,9,9,27,2,15,14,99
25,8,5,23,3,15,13,108
26,10,7,31,7,23,17,79
25,16,10,14,9,24,17,85
25,7,8,25,10,19,27,79
25,5,7,21,6,16,23,97
25,5,9,23,3,11,7,117
25,5,6,29,1,7,8,119
25,7,6,27,5,16,11,103
25,5,7,40,3,16,20,84
25,7,7,36,1,11,13,100
25,8,6,26,5,12,9,109
25,11,7,34,3,18,16,86
26,25,5,39,5,15,13,72
25,12,17,42,5,11,16,72
25,10,17,36,1,13,16,82
26,6,7,39,3,11,11,97
25,5,5,36,1,6,7,115
26,6,9,33,2,7,8,109
26,7,8,31,3,10,5,110
25,10,6,25,1,13,12,108
26,6,6,16,2,15,5,124
26,8,8,31,0,11,10,106
25,7,9,20,4,13,19,103
25,12,8,29,3,16,13,94
25,9,6,29,1,8,2,120
